Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,acc_ma_x,acc_ma_y,acc_ma_z,acc_diff_x,acc_diff_y,acc_diff_z,
610427,-6.570926,6.582890,-3.709008,2.450000,-4.620000,-1.190000,-45.870831,79.584778,58.152985,4.58,-6.539818,6.567336,-3.7341335,-0.06221600000000027,0.03110799999999969,0.05025100000000027,
610447,-6.525460,6.520675,-3.759259,2.660000,-4.970000,-1.330000,-46.465588,80.736282,57.379787,4.6,-6.5481929999999995,6.5517825,-3.7341335,0.04546600000000023,-0.06221500000000013,-0.05025100000000027,
610467,-6.590069,6.544604,-3.749687,2.940000,-4.830000,-1.820000,-45.080849,76.795685,57.793465,4.62,-6.557764499999999,6.5326395,-3.754473,-0.06460899999999992,0.023928999999999867,0.009571999999999914,
610487,-6.566140,6.544604,-3.744901,3.080000,-4.970000,-2.450000,-46.804310,79.983185,56.127071,4.64,-6.5781045,6.544604,-3.747294,0.023928999999999867,0.0,0.004786000000000179,
610502,-6.511103,6.482388,-3.723365,2.800000,-5.600000,-2.800000,-46.362400,80.478218,59.295952,4.66,-6.5386215,6.513496,-3.734133,0.05503699999999956,-0.06221599999999938,0.02153600000000022,
610522,-6.465638,6.429744,-3.747294,2.520000,-6.020000,-2.800000,-46.297325,79.932350,58.918381,4.68,-6.4883705,6.456066,-3.7353294999999997,0.04546500000000009,-0.05264399999999991,-0.02392900000000031,
610542,-6.434530,6.384279,-3.730544,1.750000,-6.300000,-2.590000,-46.316162,79.928383,58.357063,4.7,-6.450084,6.4070115,-3.738919,0.03110800000000058,-0.04546500000000009,0.016750000000000043,
610562,-6.393850,6.444101,-3.713793,1.820000,-6.650000,-2.380000,-48.006767,78.602806,56.451180,4.72,-6.41419,6.41419,-3.7221685,0.04068000000000005,0.0598219999999996,0.016751000000000182,
610578,-6.415387,6.535032,-3.670721,2.030000,-6.160000,-2.520000,-46.539326,77.319908,58.597092,4.74,-6.4046185,6.4895665000000005,-3.6922569999999997,-0.02153700000000036,0.09093100000000032,0.043072,
610598,-6.444101,6.420172,-3.675507,2.100000,-5.460000,-2.030000,-45.488503,77.147217,59.120186,4.76,-6.4297439999999995,6.477602,-3.673114,-0.028713999999999906,-0.11486000000000018,-0.004786000000000179,
