Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,acc_ma_x,acc_ma_y,acc_ma_z,acc_diff_x,acc_diff_y,acc_diff_z,Unnamed: 17
454173,-7.650127,0.100502,0.679586,111.300003,50.470001,-244.160004,-48.548244,35.76363,55.870155,7.74,-8.0641,0.742998,0.672407,0.8279459999999998,-1.284992,0.0143579999999999,
454193,-7.496981,-0.784874,0.380472,117.879997,53.34,-231.139999,-45.229694,32.561462,56.962517,7.76,-7.573554,-0.342186,0.530029,0.1531460000000004,-0.8853759999999999,-0.299114,
454208,-7.212225,-1.624785,-0.296721,125.720001,56.209999,-211.190002,-43.628361,25.108068,54.929626,7.78,-7.354603,-1.2048295,0.0418754999999999,0.2847559999999998,-0.839911,-0.6771929999999999,
454228,-6.932255,-2.694415,-0.679586,122.779999,58.310001,-192.220001,-43.981113,28.872,54.477718,7.8,-7.07224,-2.1595999999999997,-0.4881535,0.2799700000000005,-1.06963,-0.382865,
454248,-6.783895,-3.376393,-0.514475,107.660004,62.02,-173.460007,-39.725224,24.712685,55.394135,7.82,-6.8580749999999995,-3.035404,-0.5970305,0.1483599999999993,-0.6819780000000004,0.165111,
454268,-6.472816,-3.500824,-0.911698,95.690002,63.91,-150.850006,-40.524734,22.979795,54.25119,7.84,-6.6283555,-3.4386085,-0.7130865,0.3110790000000003,-0.1244309999999999,-0.397223,
454284,-5.647263,-3.685078,-0.949984,77.699997,68.809998,-131.320007,-38.611931,21.834093,52.353054,7.86,-6.0600395,-3.592951,-0.930841,0.8255530000000002,-0.1842539999999997,-0.038286,
454304,-5.613762,-3.608505,-1.39028,62.16,75.739998,-115.010002,-36.443459,22.543135,53.866074,7.88,-5.6305125,-3.6467915,-1.170132,0.0335009999999993,0.0765729999999997,-0.4402959999999999,
454324,-5.38165,-3.429037,-1.552997,45.360001,78.050003,-98.07,-33.904259,18.932463,54.050129,7.9,-5.497706,-3.518771,-1.4716385,0.2321120000000007,0.1794679999999999,-0.162717,
454344,-5.242862,-3.335714,-1.579319,22.049999,79.169998,-80.57,-33.125332,19.061098,53.787342,7.92,-5.312256,-3.3823755,-1.566158,0.1387879999999999,0.0933230000000002,-0.0263219999999999,
